Stone Ruination IPA	American Double / Imperial IPA
Mad River Steelhead Double IPA	American Double / Imperial IPA
Ninkasi Tricerahops	American Double / Imperial IPA
Rogue XS Imperial IPA	American Double / Imperial IPA
Smuttynose Big A IPA	American Double / Imperial IPA
Speakeasy Double Daddy	American Double / Imperial IPA
Three Floyds Dreadnaught	American Double / Imperial IPA
Two Brothers Hop Juice	American Double / Imperial IPA
Tyranena Hop Whore	American Double / Imperial IPA
Weyerbacher Double Simcoe IPA	American Double / Imperial IPA
Alpine Exponential Hoppiness	American Double / Imperial IPA
Alpine Pure Hoppiness	American Double / Imperial IPA
Deschutes Hop Henge Experimental IPA	American Double / Imperial IPA
Coronado Idiot IPA	American Double / Imperial IPA
Great Lakes Lake Erie Monster	American Double / Imperial IPA
Breckenridge 471 Small Batch IPA	American Double / Imperial IPA
Moylans Hopsickle	American Double / Imperial IPA
Moylans Moylander	American Double / Imperial IPA
Mikkeller I Beat YoU	American Double / Imperial IPA
Great Divide 16th Anniversary Wood Aged	American Double / Imperial IPA
Stone 14th Anniversary Emperial IPA	American Double / Imperial IPA
Mammoth Brewing IPA 395	American Double / Imperial IPA
Avery DuganA IPA	American Double / Imperial IPA
Bear Republic Racer X	American Double / Imperial IPA
Dark Horse Double Crooked Tree IPA	American Double / Imperial IPA
Dogfish Head Squall IPA	American Double / Imperial IPA
Hair of the Dog Blue Dot	American Double / Imperial IPA
Hoppin' Frog Mean Manalishi Double I.P.A.	American Double / Imperial IPA
Southern Tier 2XIPA	American Double / Imperial IPA
Lagunitas A Little Sumpin' Extra! Ale	American Double / Imperial IPA
Russian River Pliny The Younger	American Double / Imperial IPA
Stoudts Double IPA	American Double / Imperial IPA
Surly Abrasive Ale	American Double / Imperial IPA
Hill Farmstead Abner	American Double / Imperial IPA
Hill Farmstead Ephraim	American Double / Imperial IPA
Oggi's Hop Juice Double IPA	American Double / Imperial IPA
Sprecher IPA2	American Double / Imperial IPA
Tallgrass Oasis	American Double / Imperial IPA
Full Sail Capsize	American Double / Imperial Pilsner
Harpoon Leviathan Big Bohemian	American Double / Imperial Pilsner
Mikkeller Draft Bear	American Double / Imperial Pilsner
Port / Pizza Port Panzer Imperial Pilsner	American Double / Imperial Pilsner
Samuel Adams Imperial Pilsner	American Double / Imperial Pilsner
Rogue Morimoto Imperial Pilsner	American Double / Imperial Pilsner
Sudwerk Imperial Pilsner	American Double / Imperial Pilsner
Dogfish Head My Antonia	American Double / Imperial Pilsner
Odell Brewing Double Pilsner	American Double / Imperial Pilsner
Bell's Barrel Aged Cherry Stout	American Double / Imperial Stout
Bell's Barrel Aged Java Stout	American Double / Imperial Stout
Bell's Barrel Aged Double Cream Stout	American Double / Imperial Stout
Bell's Harry Magill's Spiced Stout	American Double / Imperial Stout
BrewDog Paradox Glen Grant	American Double / Imperial Stout
BrewDog Paradox Islay	American Double / Imperial Stout
BrewDog Paradox Smokehead	American Double / Imperial Stout
BrewDog Paradox Springbank	American Double / Imperial Stout
Buffalo Bill's Blueberry Oatmeal Stout	American Double / Imperial Stout
Goose Island Bourbon County Stout	American Double / Imperial Stout
Great Divide Chocolate Oak-Aged Yeti Imperial Stout	American Double / Imperial Stout
Left Hand Oak Aged Imperial Stout	American Double / Imperial Stout
Lost Abbey Serpent's Stout	American Double / Imperial Stout
Port / Pizza Port Older Viscosity	American Double / Imperial Stout
Redhook Double Black Stout	American Double / Imperial Stout
Saranac Imperial Stout	American Double / Imperial Stout
AleSmith Speedway Stout	American Double / Imperial Stout
Brasserie Dieu du Ciel Péché Mortel	American Double / Imperial Stout
Dogfish Head World Wide Stout	American Double / Imperial Stout
Elysian Brewing Dragonstooth Stout	American Double / Imperial Stout
Grand Teton Black Cauldron	American Double / Imperial Stout
Terrapin Coffee Oatmeal Imperial Stout	American Double / Imperial Stout
Voodoo Black Magick	American Double / Imperial Stout
Half Acre Big Hugs	American Double / Imperial Stout
Allagash Fluxus 2010	American Double / Imperial Stout
Saint Arnold Divine Reserve #9	American Double / Imperial Stout
Great Divide Espresso Oak Aged Yeti	American Double / Imperial Stout
Founders Canadian Breakfast Stout	American Double / Imperial Stout
Goose Island Bourbon County Brand Coffee Stout	American Double / Imperial Stout
Goose Island Night Stalker	American Double / Imperial Stout
Sierra Nevada 30th Anniversary Fritz & Ken's Ale	American Double / Imperial Stout
Stoudts Fat Dog	American Double / Imperial Stout
Odell Brewing Bourbon Barrel Stout	American Double / Imperial Stout
Pisgah Valdez	American Double / Imperial Stout
The Bruery Black Tuesday	American Double / Imperial Stout
Clipper City Heavy Seas Small Craft Warning	American Imperial Pilsner
Russian River Blind Pig IPA	American IPA
Alaskan Alaskan IPA	American IPA
BrewDog Punk IPA	American IPA
Coast HopArt	American IPA
Flying Dog Snake Dog	American IPA
Full Sail Grandsun of Spot	American IPA
Full Sail Full Sail IPA	American IPA
Full Sail Prodigal Sun IPA	American IPA
Great Divide Titan IPA	American IPA
Harpoon I.P.A.	American IPA
Left Hand Warrior IPA	American IPA
Magic Hat Hi.P.A.	American IPA
Magic Hat Lucky Kat	American IPA
Mikkeller Amarillo Single Hop IPA	American IPA
Mikkeller Cascade Single Hop	American IPA
Mikkeller Nelson Sauvin Single Hop IPA	American IPA
Mikkeller Nugget Single Hop IPA	American IPA
Mikkeller Simcoe Single Hop IPA	American IPA
Mikkeller Stateside IPA	American IPA
Mikkeller Warrior Single Hop IPA	American IPA
Otter Creek 15th Anniversary IPA	American IPA
Port / Pizza Port High Tide	American IPA
Port / Pizza Port Wipeout I.P.A.	American IPA
Pyramid Thunderhead	American IPA
Redhook Long Hammer IPA	American IPA
Rogue Independence Hop Ale	American IPA
Rogue Yellow Snow IPA	American IPA
Sierra Nevada Anniversary Ale	American IPA
Sierra Nevada Estate Brewers Harvest Ale	American IPA
Sierra Nevada Torpedo Extra IPA	American IPA
Sly Fox Rte. 113 India Pale Ale	American IPA
Bell's Two Hearted Ale	American IPA
Goose Island India Pale Ale	American IPA
Abita Jockamo IPA	American IPA
Firestone Walker Union Jack IPA	American IPA
Great Lakes Commodore Perry	American IPA
Ithaca Flower Power	American IPA
Midnight Sun Sockeye Red IPA	American IPA
Firestone Walker Nectar IPA	American IPA
Avery India Pale Ale	American IPA
Ballast Point Big Eye IPA	American IPA
Ballast Point Sculpin IPA	American IPA
Deschutes Inversion IPA	American IPA
Founders Centennial IPA	American IPA
Green Flash West Coast IPA	American IPA
Lagunitas IPA	American IPA
New Holland Mad Hatter	American IPA
North Coast Acme California IPA	American IPA
21st Amendment Brew Free or Die IPA	American IPA
AleSmith AleSmith IPA	American IPA
Anderson Valley Hop Ottin IPA	American IPA
Bear Republic Hop Rod Rye	American IPA
Bear Republic Racer 5	American IPA
Blue Point Brewing Hoptical Illusion	American IPA
Boulder Beer Mojo IPA	American IPA
BridgePort BridgePort IPA	American IPA
Dogfish Head 60 Minute IPA	American IPA
Dogfish Head Aprihop	American IPA
Drake's IPA	American IPA
Genesee Dundee India Pale Ale	American IPA
Elysian Brewing Avatar Jasmine IPA	American IPA
Elysian Brewing The Immortal IPA	American IPA
Erie Brewing Misery Bay IPA	American IPA
Grand Teton Sweetgrass IPA	American IPA
Hopworks (HUB) Hopworks IPA	American IPA
Stone IPA	American IPA
Mendocino White Hawk IPA	American IPA
Mission IPA	American IPA
Ninkasi Total Domination	American IPA
Nogne O India Pale Ale	American IPA
Saranac India Pale Ale	American IPA
Sierra Nevada Celebration	American IPA
Sierra Nevada Harvest	American IPA
Sierra Nevada Southern Hemisphere Harvest	American IPA
Ska Brewing Modus Hoperandi	American IPA
Smuttynose IPA	American IPA
Southampton India Pale Ale	American IPA
Speakeasy Big Daddy IPA	American IPA
Surly Furious	American IPA
Terrapin Rye Squared	American IPA
Two Brothers Heavy Handed IPA	American IPA
Tyranena Bitter Woman IPA	American IPA
Victory HopDevil	American IPA
Wachusett IPA	American IPA
Weyerbacher Hops Infusion	American IPA
Widmer Brothers Broken Halo IPA	American IPA
Maui Big Swell IPA	American IPA
Alpine Duet	American IPA
Alpine Nelson	American IPA
Lost Coast Indica India Pale Ale	American IPA
Coronado Islander IPA	American IPA
New Belgium Ranger IPA	American IPA
New Glarus Hop Hearty Ale	American IPA
Butternuts Snapperhead IPA	American IPA
Philadelphia Newbold IPA	American IPA
Rahr and Sons Stormcloud IPA	American IPA
Saint Arnold Elissa IPA	American IPA
Deschutes Hop in the Dark	American IPA
Mayflower IPA	American IPA
Peak Organic IPA	American IPA
Real Ale Brewing Lost Gold IPA	American IPA
Butte Creek Organic India Pale Ale	American IPA
Silver City Indianola IPA	American IPA
Odell Brewing Odell IPA	American IPA
Hale's Ales Supergoose DIPA	American IPA
Short's Brewing Huma-Lupa-Licious IPA	American IPA
Great Divide Rumble IPA	American IPA
Marshall Brewing Atlas IPA	American IPA
Caldera Hopportunity Knocks	American IPA
Caldera IPA	American IPA
Dark Horse Crooked Tree IPA	American IPA
Brasserie Dieu du Ciel Corne Du Diable	American IPA
Highland Kashmir IPA	American IPA
Lancaster Hop Hog	American IPA
Samuel Adams Latitude 48	American IPA
Sweetwater IPA	American IPA
Terrapin Hopsecutioner	American IPA
Bristol Compass IPA	American IPA
Captured by Porches Invasive Species IPA	American IPA
Craftsman IPA	American IPA
Evolution Lot #3 IPA	American IPA
Four Peaks Hop Knot	American IPA
Free State Copperhead Pale Ale	American IPA
Lake Placid India Pale Ale	American IPA
Michigan High Seas India Pale Ale	American IPA
Oggi's Torrey Pines IPA	American IPA
Pisgah India Pale Ale	American IPA
Rush River Bubblejack India Pale Ale	American IPA
Squatters IPA	American IPA
Starr Hill Northern Lights IPA	American IPA
Surly Wet	American IPA
Tallgrass IPA	American IPA
Rogue Dad's Little Helper	American Malt Liquor
Schlitz Schlitz Bull Ice	American Malt Liquor
Schlitz Schlitz High Gravity VSL	American Malt Liquor
Schlitz Schlitz Malt Liquor	American Malt Liquor
Schlitz Schlitz Red Bull XL	American Malt Liquor
Miller Mickey's Fine Malt Liquor	American Malt Liquor
Molson Molson XXX	American Malt Liquor
Labatt Maximum Ice	American Malt Liquor
Southern Tier Pale Ale	American Pale Ale
Summit Extra Pale Ale	American Pale Ale
Thomas Hooker American Pale Ale	American Pale Ale
Anheuser-Busch Stone Mill Pale Ale	American Pale Ale
Big Sky Scape Goat Pale Ale	American Pale Ale
Boulevard Pale Ale	American Pale Ale
Full Sail Pale Ale	American Pale Ale
Southern Tier Phin & Matt's Extraordinary Ale	American Pale Ale
Otter Creek Wolaver's Pale Ale	American Pale Ale
Firestone Walker Pale 31	American Pale Ale
Great Lakes Burning River	American Pale Ale
Ithaca Pale Ale	American Pale Ale
Left Hand Jackman's	American Pale Ale
Southern Star Pine Belt Pale Ale	American Pale Ale
Deschutes Mirror Pond	American Pale Ale
Deschutes Twilight Ale	American Pale Ale
Founders Pale Ale	American Pale Ale
North Coast Acme California Pale Ale	American Pale Ale
Oskar Blues Dale's Pale Ale	American Pale Ale (APA)
Alaskan Alaskan Pale	American Pale Ale (APA)
Bell's Pale Ale	American Pale Ale (APA)
Cold Spring Cold Spring Pale Ale	American Pale Ale (APA)
Flying Dog Doggie Style	American Pale Ale (APA)
Great Divide Fresh Hop Pale Ale	American Pale Ale (APA)
Harpoon Harpoon Ale	American Pale Ale (APA)
Harpoon Glacier Harvest '08 Wet Hop	American Pale Ale (APA)
Harpoon Glacier Harvest '09 Wet Hop	American Pale Ale (APA)
Kona Fire Rock Pale Ale	American Pale Ale (APA)
Mikkeller All Others Pale	American Pale Ale (APA)
New Belgium Mighty Arrow	American Pale Ale (APA)
Otter Creek Pale Ale	American Pale Ale (APA)
Rogue Seahorse Pale Ale	American Pale Ale (APA)
Saranac Pale Pale Ale	American Pale Ale (APA)
Sierra Nevada Pale Ale	American Pale Ale (APA)
Sly Fox Phoenix Pale Ale	American Pale Ale (APA)
Samuel Adams Boston Ale	American Pale Ale (APA)
Abita Restoration Pale Ale	American Pale Ale (APA)
AleSmith AleSmith X	American Pale Ale (APA)
Anderson Valley Poleeko Gold Pale Ale	American Pale Ale (APA)
Anchor Anchor Liberty Ale	American Pale Ale (APA)
Boulder Beer Hazed and Infused	American Pale Ale (APA)
Boulder Beer Pass Time Pale Ale	American Pale Ale (APA)
BridgePort Blue Heron	American Pale Ale (APA)
Dogfish Head Shelter Pale Ale	American Pale Ale (APA)
Drake's 1500 Pale Ale	American Pale Ale (APA)
Genesee Dundee Pale Ale	American Pale Ale (APA)
Erie Brewing Mad Anthony's APA	American Pale Ale (APA)
Flying Fish Extra Pale Ale	American Pale Ale (APA)
Stone Pale Ale	American Pale Ale (APA)
Mad River Steelhead Extra Pale Ale	American Pale Ale (APA)
Nogne O Pale Ale	American Pale Ale (APA)
Stoudts American Pale Ale	American Pale Ale (APA)
Lagunitas New Dogtown Pale Ale	American Pale Ale (APA)
Two Brothers The Bitter End	American Pale Ale (APA)
Smuttynose Shoals Pale Ale	American Pale Ale (APA)
Speakeasy Untouchable	American Pale Ale (APA)
Sweetwater 420 Extra Pale Ale	American Pale Ale (APA)
Terrapin Rye Pale Ale	American Pale Ale (APA)
Three Floyds Alpha King	American Pale Ale (APA)
Three Floyds Pride and Joy	American Pale Ale (APA)
Troegs Pale Ale	American Pale Ale (APA)
Two Brothers The Bitter End	American Pale Ale (APA)
Widmer Brothers Drifter Pale Ale	American Pale Ale (APA)
Yuengling Lord Chesterfield Ale	American Pale Ale (APA)
Half Acre Daisy Cutter	American Pale Ale (APA)
Butternuts Porkslap Pale Ale	American Pale Ale (APA)
Yards Philadelphia Pale Ale	American Pale Ale (APA)
Boxcar Original Ale	American Pale Ale (APA)
Moylans Tipperary Pale Ale	American Pale Ale (APA)
New Belgium Mighty Arrow	American Pale Ale (APA)
Mendocino Blue Heron	American Pale Ale (APA)
Real Ale Brewing Rio Blanco Pale Ale	American Pale Ale (APA)
Silver City Clear Creek Pale Ale	American Pale Ale (APA)
